paper_id,title,year,month,topic,venue,citations,num_authors,page_length,has_code,impact_score
arxiv_2021_00158,Paper_158,2021,4,Federated Learning,ACL,97,2,6,True,3.100387865139384
arxiv_2020_00159,Paper_159,2020,12,GANs,EMNLP,12,4,18,False,1.9720729328799562
arxiv_2021_00160,Paper_160,2021,8,Multimodal Learning,NeurIPS,0,2,17,False,3.2690442439000633
arxiv_2022_00161,Paper_161,2022,9,Computer Vision,ECCV,1,6,6,True,1.385656413923591
arxiv_2020_00162,Paper_162,2020,6,Graph Neural Networks,ArXiv,21,2,15,True,3.82044767645183
arxiv_2020_00163,Paper_163,2020,1,GANs,AAAI,7,7,13,False,8.061878595553797
arxiv_2021_00164,Paper_164,2021,10,Federated Learning,IJCAI,40,3,14,True,13.760970272244544
arxiv_2020_00165,Paper_165,2020,2,Multimodal Learning,CVPR,20,3,18,True,11.26025159392608
arxiv_2023_00166,Paper_166,2023,6,Diffusion Models,ICLR,0,4,13,False,6.451768443753606
arxiv_2023_00167,Paper_167,2023,7,LLMs,ICCV,7,6,7,False,10.272097267033276
arxiv_2024_00168,Paper_168,2024,7,Reinforcement Learning,ArXiv,0,3,9,False,3.9096584873785463
arxiv_2022_00169,Paper_169,2022,3,Diffusion Models,EMNLP,0,1,10,False,10.135099625954203
arxiv_2021_00170,Paper_170,2021,8,GANs,CVPR,28,2,4,False,4.434368170328028
arxiv_2021_00171,Paper_171,2021,5,NLP,ICML,36,4,9,False,24.225593477684974
arxiv_2021_00172,Paper_172,2021,6,Reinforcement Learning,IJCAI,72,1,6,False,2.5985766273974424
arxiv_2021_00173,Paper_173,2021,12,NLP,ArXiv,77,5,12,True,10.230030008724246
arxiv_2020_00174,Paper_174,2020,4,NLP,ArXiv,52,1,12,False,9.759157113523962
arxiv_2024_00175,Paper_175,2024,1,Multimodal Learning,CVPR,35,7,18,True,0.38168861277968535
arxiv_2021_00176,Paper_176,2021,10,LLMs,CVPR,35,4,4,True,2.2255854049494945
arxiv_2023_00177,Paper_177,2023,9,Transformers,ACL,30,4,11,False,10.135053132645012
arxiv_2023_00178,Paper_178,2023,11,GANs,ArXiv,1,7,8,False,0.20069208204691116
arxiv_2022_00179,Paper_179,2022,6,Transformers,ACL,3,3,17,False,2.5323339238152514
arxiv_2021_00180,Paper_180,2021,8,NLP,ECCV,34,7,14,False,5.496026185327917
arxiv_2023_00181,Paper_181,2023,7,GANs,ICCV,26,2,8,True,5.582895419522681
arxiv_2024_00182,Paper_182,2024,6,NLP,AAAI,28,2,17,False,4.8096742777547075
arxiv_2020_00183,Paper_183,2020,12,Multimodal Learning,CVPR,56,3,18,False,2.5032578244792942
arxiv_2024_00184,Paper_184,2024,9,Diffusion Models,ICML,74,6,18,False,2.6120284122729864
arxiv_2024_00185,Paper_185,2024,9,Transformers,ECCV,1,2,16,False,12.996528173490496
arxiv_2022_00186,Paper_186,2022,6,NLP,ECCV,11,5,14,False,1.7610622538745213
arxiv_2020_00187,Paper_187,2020,5,Computer Vision,AAAI,41,3,15,False,4.537713971811074
arxiv_2020_00188,Paper_188,2020,3,Graph Neural Networks,ArXiv,46,6,17,False,3.113388075084737
arxiv_2022_00189,Paper_189,2022,5,Diffusion Models,ICML,19,5,16,False,2.391756824494026
arxiv_2021_00190,Paper_190,2021,5,GANs,AAAI,67,2,15,False,0.09200422291350013
arxiv_2022_00191,Paper_191,2022,7,Transformers,ECCV,31,3,18,True,3.2617849353852484
arxiv_2022_00192,Paper_192,2022,2,GANs,ArXiv,10,3,16,False,3.873535690691302
arxiv_2021_00193,Paper_193,2021,4,NLP,CVPR,69,6,14,True,9.809743168286303
arxiv_2024_00194,Paper_194,2024,7,Multimodal Learning,ICCV,24,4,7,True,8.457271928417574
arxiv_2023_00195,Paper_195,2023,8,Diffusion Models,ArXiv,0,6,9,False,4.501331177437549
arxiv_2021_00196,Paper_196,2021,9,Diffusion Models,ArXiv,17,2,11,False,4.066832810278326
arxiv_2022_00197,Paper_197,2022,5,GANs,ArXiv,51,4,10,False,0.5020600864556289
arxiv_2023_00198,Paper_198,2023,10,Computer Vision,ACL,3,3,15,False,1.2214516334426968
arxiv_2020_00199,Paper_199,2020,6,Transformers,AAAI,39,2,12,False,4.51288023769661
arxiv_2020_00200,Paper_200,2020,2,Reinforcement Learning,ICML,25,6,16,False,5.895362876599073
arxiv_2023_00201,Paper_201,2023,3,GANs,ICCV,47,5,17,True,5.182271333564202
arxiv_2023_00202,Paper_202,2023,3,LLMs,EMNLP,8,4,16,False,0.35003423188720684
arxiv_2024_00203,Paper_203,2024,12,Transformers,ArXiv,8,3,9,True,3.051928352111501
arxiv_2021_00204,Paper_204,2021,7,NLP,ICLR,52,6,7,True,4.131071300719805
arxiv_2023_00205,Paper_205,2023,5,LLMs,ArXiv,10,6,12,False,0.006187225394291128
arxiv_2023_00206,Paper_206,2023,8,GANs,AAAI,10,6,8,False,7.318033103061611
arxiv_2020_00207,Paper_207,2020,9,Transformers,ArXiv,14,7,19,True,8.745443674676697
arxiv_2023_00208,Paper_208,2023,2,GANs,ICML,8,1,8,False,1.3659731680790042
arxiv_2020_00209,Paper_209,2020,11,Reinforcement Learning,AAAI,142,2,10,True,7.715348068300093
arxiv_2023_00210,Paper_210,2023,5,GANs,ArXiv,53,2,9,False,2.395208093335486
arxiv_2021_00211,Paper_211,2021,6,Reinforcement Learning,CVPR,68,7,8,True,0.8349454091905708
arxiv_2022_00212,Paper_212,2022,2,GANs,ICCV,51,1,16,False,12.804007243080664
arxiv_2020_00213,Paper_213,2020,6,GANs,ECCV,87,5,8,True,3.252680558202134
arxiv_2023_00214,Paper_214,2023,9,GANs,ArXiv,29,4,16,False,10.441612004069965
arxiv_2024_00215,Paper_215,2024,12,Graph Neural Networks,ArXiv,0,2,15,False,2.442555941383408
arxiv_2024_00216,Paper_216,2024,3,NLP,ICML,6,2,16,False,1.7645178101469123
arxiv_2022_00217,Paper_217,2022,9,Reinforcement Learning,ArXiv,45,6,6,True,5.882080924757292
arxiv_2020_00218,Paper_218,2020,4,GANs,NeurIPS,13,4,7,True,5.3315533331317235
arxiv_2021_00219,Paper_219,2021,5,GANs,ICLR,18,4,9,False,6.614051614296391
arxiv_2024_00220,Paper_220,2024,7,NLP,ArXiv,5,6,18,False,5.712426339158911
arxiv_2024_00221,Paper_221,2024,1,Transformers,ACL,2,5,16,True,2.321368922222594
arxiv_2020_00222,Paper_222,2020,12,Transformers,AAAI,8,6,7,False,1.3951181155873682
arxiv_2021_00223,Paper_223,2021,8,Reinforcement Learning,CVPR,78,2,8,False,0.7144178218804793
arxiv_2020_00224,Paper_224,2020,8,LLMs,ICML,28,5,4,False,0.19592058371878027
arxiv_2023_00225,Paper_225,2023,8,Transformers,AAAI,21,3,9,False,4.758729320554361
arxiv_2023_00226,Paper_226,2023,7,Multimodal Learning,ACL,26,1,10,False,0.21283059708177177
arxiv_2020_00227,Paper_227,2020,7,Computer Vision,ArXiv,3,1,8,False,2.4518091431169373
arxiv_2023_00228,Paper_228,2023,11,GANs,AAAI,30,3,14,False,3.988274119183352
arxiv_2021_00229,Paper_229,2021,6,Computer Vision,ArXiv,58,1,12,False,1.1513900947795177
arxiv_2020_00230,Paper_230,2020,4,GANs,ECCV,160,7,17,False,1.9446294662776922
arxiv_2023_00231,Paper_231,2023,12,Multimodal Learning,ArXiv,13,7,19,False,5.342529453740248
arxiv_2022_00232,Paper_232,2022,10,Computer Vision,AAAI,2,3,17,False,4.745872402761159
arxiv_2023_00233,Paper_233,2023,4,Transformers,ICLR,43,5,6,False,1.9057346134853224
arxiv_2020_00234,Paper_234,2020,12,LLMs,ACL,70,5,17,False,6.518794009673784
arxiv_2023_00235,Paper_235,2023,11,Graph Neural Networks,ECCV,55,5,16,True,0.7062557007634263
arxiv_2023_00236,Paper_236,2023,11,NLP,ArXiv,14,4,16,False,7.097911768959495
arxiv_2020_00237,Paper_237,2020,8,Reinforcement Learning,ArXiv,41,5,17,False,5.057010774374272
arxiv_2024_00238,Paper_238,2024,8,Diffusion Models,IJCAI,2,5,6,False,0.5222385485554638
arxiv_2021_00239,Paper_239,2021,2,LLMs,AAAI,38,2,12,False,3.86848648093189
arxiv_2023_00240,Paper_240,2023,6,Diffusion Models,EMNLP,35,6,17,False,7.108082332957142
arxiv_2023_00241,Paper_241,2023,11,Reinforcement Learning,EMNLP,41,5,13,False,2.9765703025518473
arxiv_2023_00242,Paper_242,2023,10,Multimodal Learning,ArXiv,2,6,8,True,0.9823412613127267
arxiv_2021_00243,Paper_243,2021,6,GANs,ArXiv,19,1,10,False,3.5678690800316195
arxiv_2022_00244,Paper_244,2022,8,Transformers,AAAI,36,6,11,False,8.173496550579964
arxiv_2023_00245,Paper_245,2023,12,Reinforcement Learning,ICLR,1,5,15,False,6.149546920103921
arxiv_2023_00246,Paper_246,2023,3,GANs,ArXiv,26,1,5,False,0.3229178208792663
arxiv_2023_00247,Paper_247,2023,11,LLMs,NeurIPS,10,4,7,False,0.6297223224301701
arxiv_2023_00248,Paper_248,2023,11,Federated Learning,ACL,4,5,13,False,0.13272977607334807
arxiv_2020_00249,Paper_249,2020,6,Graph Neural Networks,ICLR,141,2,6,False,10.307232165577965
arxiv_2024_00250,Paper_250,2024,5,GANs,ICCV,27,4,9,False,0.255635108336767
arxiv_2021_00251,Paper_251,2021,3,Computer Vision,CVPR,58,6,17,False,0.7271759976393737
arxiv_2023_00252,Paper_252,2023,8,LLMs,IJCAI,1,6,9,True,1.4183094814786363
arxiv_2023_00253,Paper_253,2023,8,Diffusion Models,ArXiv,28,2,12,False,0.3380021938096258
arxiv_2024_00254,Paper_254,2024,4,Multimodal Learning,ArXiv,9,3,12,False,1.893065760679076
arxiv_2022_00255,Paper_255,2022,7,Graph Neural Networks,ICML,39,3,7,True,10.691102945072824
arxiv_2024_00256,Paper_256,2024,10,Diffusion Models,ECCV,6,5,5,True,6.457753118589151
arxiv_2024_00257,Paper_257,2024,8,Computer Vision,ECCV,29,4,12,True,0.11140780409011192
arxiv_2024_00258,Paper_258,2024,4,Diffusion Models,ArXiv,11,1,4,False,1.2900305980581885
arxiv_2023_00259,Paper_259,2023,10,LLMs,NeurIPS,15,6,17,False,3.314994092074675
arxiv_2024_00260,Paper_260,2024,5,NLP,ECCV,11,2,19,False,5.263036671570292
arxiv_2023_00261,Paper_261,2023,8,Multimodal Learning,ArXiv,8,3,19,False,3.438370230758412
arxiv_2024_00262,Paper_262,2024,4,Diffusion Models,CVPR,7,5,18,False,10.223400900512182
arxiv_2022_00263,Paper_263,2022,9,Multimodal Learning,ICCV,24,2,12,True,2.1054059794763575
arxiv_2023_00264,Paper_264,2023,1,Diffusion Models,EMNLP,9,7,12,False,0.4903136689021209
arxiv_2024_00265,Paper_265,2024,3,Multimodal Learning,ArXiv,0,4,15,False,1.6178707131566594
arxiv_2020_00266,Paper_266,2020,8,NLP,ArXiv,59,4,5,False,9.73082490256681
arxiv_2022_00267,Paper_267,2022,11,NLP,ArXiv,21,4,4,True,2.2603716188331213
arxiv_2023_00268,Paper_268,2023,11,Transformers,EMNLP,68,3,19,True,6.730185005921103
arxiv_2020_00269,Paper_269,2020,7,Transformers,ICML,9,6,13,False,0.885078722413422
arxiv_2022_00270,Paper_270,2022,5,LLMs,ArXiv,0,4,5,True,2.3823393975747873
arxiv_2022_00271,Paper_271,2022,12,LLMs,ICML,3,4,15,False,11.57814957838039
arxiv_2023_00272,Paper_272,2023,12,LLMs,ICML,34,4,15,False,1.4008183052682008
arxiv_2023_00273,Paper_273,2023,8,Diffusion Models,ArXiv,5,4,5,False,2.992376739601061
arxiv_2021_00274,Paper_274,2021,11,LLMs,EMNLP,53,4,14,False,1.4649799957359153
